,代號,股票名稱,上市日,市場別,產業別
325,2402,毅嘉,2000-01-14,上市,電子零組件業
326,2404,漢唐,2000-03-14,上市,其他電子業
327,2405,輔信,2000-03-17,上市,電腦及週邊設備業
328,2406,國碩,2000-04-29,上市,光電業
329,2408,南亞科,2000-08-17,上市,半導體業
330,2409,友達,2000-09-08,上市,光電業
331,2412,中華電,2000-10-27,上市,通信網路業
332,2413,環科,2000-09-11,上市,電子零組件業
333,2414,精技,2000-09-11,上市,電子通路業
334,2415,錩新,2000-09-11,上市,電子零組件業
335,2417,圓剛,2000-09-11,上市,電腦及週邊設備業
336,2419,仲琦,2000-09-11,上市,通信網路業
337,2420,新巨,2000-09-11,上市,電子零組件業
338,2421,建準,2000-09-11,上市,電子零組件業
339,2423,固緯,2000-09-11,上市,其他電子業
340,2424,隴華,2000-09-11,上市,通信網路業
341,2425,承啟,2000-09-11,上市,電腦及週邊設備業
342,2426,鼎元,2000-09-11,上市,光電業
343,2427,三商電,2000-09-11,上市,資訊服務業
344,2428,興勤,2000-09-11,上市,電子零組件業
345,2429,銘旺科,2000-09-11,上市,光電業
346,2430,燦坤,2000-09-11,上市,電子通路業
347,2431,聯昌,2000-09-11,上市,電子零組件業
348,2433,互盛電,2000-09-11,上市,其他電子業
349,2434,統懋,2000-09-11,上市,半導體業
350,2436,偉詮電,2000-09-11,上市,半導體業
351,2438,翔耀,2000-09-11,上市,光電業
352,2439,美律,2000-09-11,上市,通信網路業
353,2440,太空梭,2000-11-10,上市,電子零組件業
354,2441,超豐,2000-10-26,上市,半導體業
355,2442,新美齊,2000-11-22,上市,建材營造業
356,2443,昶虹,2001-01-03,上市,其他業
357,2444,兆勁,2000-12-08,上市,通信網路業
358,2449,京元電子,2001-05-09,上市,半導體業
359,2450,神腦,2001-05-24,上市,通信網路業
360,2451,創見,2001-05-03,上市,半導體業
361,2453,凌群,2001-05-22,上市,資訊服務業
362,2454,聯發科,2001-07-23,上市,半導體業
363,2455,全新,2002-01-24,上市,通信網路業
364,2457,飛宏,2001-09-17,上市,電子零組件業
365,2458,義隆,2001-09-17,上市,半導體業
366,2459,敦吉,2001-09-17,上市,其他電子業
367,2460,建通,2001-09-17,上市,電子零組件業
368,2461,光群雷,2001-09-17,上市,其他電子業
369,2462,良得電,2001-09-17,上市,電子零組件業
370,2464,盟立,2001-09-17,上市,其他電子業
371,2465,麗臺,2001-09-19,上市,電腦及週邊設備業
372,2466,冠西電,2001-09-17,上市,光電業
373,2467,志聖,2001-09-17,上市,電子零組件業
374,2468,華經,2001-09-17,上市,資訊服務業
375,2471,資通,2001-09-17,上市,資訊服務業
376,2472,立隆電,2001-09-17,上市,電子零組件業
377,2474,可成,2001-09-17,上市,其他電子業
378,2476,鉅祥,2001-09-17,上市,電子零組件業
379,2477,美隆電,2001-09-17,上市,其他電子業
380,2478,大毅,2001-09-17,上市,電子零組件業
381,2480,敦陽科,2001-09-17,上市,資訊服務業
382,2481,強茂,2001-09-17,上市,半導體業
383,2482,連宇,2001-09-17,上市,其他電子業
384,2483,百容,2001-09-17,上市,電子零組件業
385,2484,希華,2001-09-17,上市,電子零組件業
386,2485,兆赫,2001-09-17,上市,通信網路業
387,2486,一詮,2001-09-19,上市,光電業
388,2488,漢平,2001-09-17,上市,其他電子業
389,2489,瑞軒,2001-09-17,上市,光電業
390,2491,吉祥全,2001-09-17,上市,光電業
391,2492,華新科,2001-09-17,上市,電子零組件業
392,2493,揚博,2002-01-23,上市,電子零組件業
393,2495,普安,2002-03-25,上市,電腦及週邊設備業
394,2496,卓越,2002-03-08,上市,其他業
395,2497,怡利電,2002-02-04,上市,汽車工業
396,2498,宏達電,2002-03-26,上市,通信網路業
397,2501,國建,1967-10-28,上市,建材營造業
398,2504,國產,1978-03-14,上市,建材營造業
399,2505,國揚,1979-11-14,上市,建材營造業
400,2506,太設,1980-02-02,上市,建材營造業
401,2509,全坤建,1988-05-20,上市,建材營造業
402,2511,太子,1991-04-24,上市,建材營造業
403,2514,龍邦,1992-09-26,上市,其他業
404,2515,中工,1993-03-02,上市,建材營造業
405,2516,新建,1993-05-25,上市,建材營造業
406,2520,冠德,1993-10-27,上市,建材營造業
407,2524,京城,1994-10-18,上市,建材營造業
408,2527,宏璟,1995-03-06,上市,建材營造業
409,2528,皇普,1995-03-10,上市,建材營造業
410,2530,華建,1995-10-12,上市,建材營造業
411,2534,宏盛,1996-02-12,上市,建材營造業
412,2535,達欣工,1996-03-11,上市,建材營造業
413,2536,宏普,1996-03-14,上市,建材營造業
414,2537,聯上發,1996-09-06,上市,建材營造業
415,2538,基泰,1996-11-01,上市,建材營造業
416,2539,櫻花建,1997-07-16,上市,建材營造業
417,2540,愛山林,1989-12-26,上市,建材營造業
418,2542,興富發,1999-05-03,上市,建材營造業
419,2543,皇昌,1999-10-15,上市,建材營造業
420,2545,皇翔,2000-09-11,上市,建材營造業
421,2546,根基,2000-09-11,上市,建材營造業
422,2547,日勝生,2000-12-22,上市,建材營造業
423,2548,華固,2002-08-26,上市,建材營造業
424,2597,潤弘,2010-03-26,上市,建材營造業
425,2601,益航,1965-11-04,上市,貿易百貨業
426,2603,長榮,1987-09-21,上市,航運業
427,2605,新興,1989-12-08,上市,航運業
428,2606,裕民,1990-12-08,上市,航運業
429,2607,榮運,1990-12-14,上市,航運業
430,2608,嘉里大榮,1990-12-20,上市,航運業
431,2609,陽明,1992-04-20,上市,航運業
432,2610,華航,1993-02-26,上市,航運業
433,2611,志信,1993-10-28,上市,航運業
434,2612,中航,1994-10-20,上市,航運業
435,2613,中櫃,1995-01-20,上市,航運業
436,2614,東森,1995-09-23,上市,其他業
437,2615,萬海,1996-05-16,上市,航運業
438,2616,山隆,1997-11-08,上市,油電燃氣業
439,2617,台航,1998-06-24,上市,航運業
440,2618,長榮航,2001-09-17,上市,航運業
441,2630,亞航,2018-02-22,上市,航運業
442,2633,台灣高鐵,2016-10-27,上市,航運業
443,2634,漢翔,2014-08-25,上市,航運業
444,2636,台驊投控,2016-12-22,上市,航運業
445,2637,慧洋-KY,2010-12-01,上市,航運業
446,2642,宅配通,2013-12-12,上市,航運業
447,2645,長榮航太,2023-03-14,上市,航運業
448,2701,萬企,1965-03-22,上市,觀光餐旅
449,2702,華園,1965-02-14,上市,觀光餐旅
450,2704,國賓,1982-11-10,上市,觀光餐旅
451,2705,六福,1988-12-24,上市,觀光餐旅
452,2706,第一店,1991-06-25,上市,觀光餐旅
453,2707,晶華,1998-03-09,上市,觀光餐旅
454,2712,遠雄來,2013-12-03,上市,觀光餐旅
455,2722,夏都,2012-03-14,上市,觀光餐旅
456,2723,美食-KY,2010-11-22,上市,觀光餐旅
457,2727,王品,2012-03-06,上市,觀光餐旅
458,2731,雄獅,2013-09-24,上市,觀光餐旅
459,2739,寒舍,2016-05-19,上市,觀光餐旅
460,2748,雲品,2016-11-23,上市,觀光餐旅
461,2753,八方雲集,2021-09-09,上市,觀光餐旅
462,2762,世界健身-KY,2024-01-24,上市,運動休閒
463,2801,彰銀,1962-02-15,上市,金融保險業
464,2809,京城銀,1983-07-20,上市,金融保險業
465,2812,台中銀,1984-05-15,上市,金融保險業
466,2816,旺旺保,1992-05-05,上市,金融保險業
467,2820,華票,1994-10-26,上市,金融保險業
468,2832,台產,1997-09-30,上市,金融保險業
469,2834,臺企銀,1998-01-03,上市,金融保險業
470,2836,高雄銀,1998-05-18,上市,金融保險業
471,2838,聯邦銀,1998-06-29,上市,金融保險業
472,2845,遠東銀,1998-11-27,上市,金融保險業
473,2849,安泰銀,1999-09-27,上市,金融保險業
474,2850,新產,2000-05-22,上市,金融保險業
475,2851,中再保,2000-07-06,上市,金融保險業
476,2852,第一保,2000-11-28,上市,金融保險業
477,2855,統一證,2002-09-16,上市,金融保險業
478,2867,三商壽,2012-12-18,上市,金融保險業
479,2880,華南金,2001-12-19,上市,金融保險業
480,2881,富邦金,2001-12-19,上市,金融保險業
481,2882,國泰金,2001-12-31,上市,金融保險業
482,2883,開發金,2001-12-28,上市,金融保險業
483,2884,玉山金,2002-01-28,上市,金融保險業
484,2885,元大金,2002-02-04,上市,金融保險業
485,2886,兆豐金,2002-02-04,上市,金融保險業
486,2887,台新金,2002-02-18,上市,金融保險業
487,2888,新光金,2002-02-19,上市,金融保險業
488,2889,國票金,2002-03-26,上市,金融保險業
489,2890,永豐金,2002-05-09,上市,金融保險業
490,2891,中信金,2002-05-17,上市,金融保險業
491,2892,第一金,2003-01-02,上市,金融保險業
492,2897,王道銀行,2017-05-05,上市,金融保險業
493,2901,欣欣,1976-05-07,上市,貿易百貨業
494,2903,遠百,1978-10-11,上市,貿易百貨業
495,2904,匯僑,1983-01-05,上市,其他業
496,2905,三商,1988-09-19,上市,貿易百貨業
497,2906,高林,1989-12-26,上市,貿易百貨業
498,2908,特力,1993-02-18,上市,貿易百貨業
499,2910,統領,1996-12-30,上市,貿易百貨業
500,2911,麗嬰房,1997-01-18,上市,貿易百貨業
501,2912,統一超,1997-08-22,上市,貿易百貨業
502,2913,農林,1962-02-09,上市,貿易百貨業
503,2915,潤泰全,1977-07-20,上市,貿易百貨業
504,2923,鼎固-KY,2012-12-07,上市,建材營造業
505,2929,淘帝-KY,2013-12-30,上市,貿易百貨業
506,2939,凱羿-KY,2018-01-11,上市,貿易百貨業
507,2945,三商家購,2021-11-30,上市,貿易百貨業
508,3002,歐格,2002-01-23,上市,電腦及週邊設備業
509,3003,健和興,2002-02-19,上市,電子零組件業
510,3004,豐達科,2002-02-25,上市,鋼鐵工業
511,3005,神基,2002-02-25,上市,電腦及週邊設備業
512,3006,晶豪科,2002-03-04,上市,半導體業
513,3008,大立光,2002-03-11,上市,光電業
514,3010,華立,2002-07-22,上市,電子通路業
515,3011,今皓,2002-07-22,上市,電子零組件業
516,3013,晟銘電,2002-09-16,上市,電腦及週邊設備業
517,3014,聯陽,2002-10-29,上市,半導體業
518,3015,全漢,2002-10-16,上市,電子零組件業
519,3016,嘉晶,2002-12-24,上市,半導體業
520,3017,奇鋐,2002-09-27,上市,電腦及週邊設備業
521,3018,隆銘綠能,2002-08-26,上市,其他電子業
522,3019,亞光,2002-08-26,上市,光電業
523,3021,鴻名,2002-08-26,上市,電子零組件業
524,3022,威強電,2002-08-26,上市,電腦及週邊設備業
525,3023,信邦,2002-08-26,上市,電子零組件業
526,3024,憶聲,2002-08-26,上市,光電業
527,3025,星通,2002-08-26,上市,通信網路業
528,3026,禾伸堂,2002-08-26,上市,電子零組件業
529,3027,盛達,2002-08-26,上市,通信網路業
530,3028,增你強,2002-08-26,上市,電子通路業
531,3029,零壹,2002-08-26,上市,資訊服務業
532,3030,德律,2002-10-29,上市,其他電子業
533,3031,佰鴻,2002-08-26,上市,光電業
534,3032,偉訓,2002-08-26,上市,電子零組件業
535,3033,威健,2002-08-26,上市,電子通路業
536,3034,聯詠,2002-08-26,上市,半導體業
537,3035,智原,2002-08-26,上市,半導體業
538,3036,文曄,2002-08-26,上市,電子通路業
539,3037,欣興,2002-08-26,上市,電子零組件業
540,3038,全台,2002-08-26,上市,光電業
541,3040,遠見,2002-08-26,上市,其他業
542,3041,揚智,2002-08-26,上市,半導體業
543,3042,晶技,2002-08-26,上市,電子零組件業
544,3043,科風,2002-08-26,上市,其他電子業
545,3044,健鼎,2002-08-26,上市,電子零組件業
546,3045,台灣大,2002-08-26,上市,通信網路業
547,3046,建碁,2002-08-26,上市,電腦及週邊設備業
548,3047,訊舟,2002-08-26,上市,通信網路業
549,3048,益登,2002-10-01,上市,電子通路業
550,3049,精金,2002-09-27,上市,光電業
551,3050,鈺德,2002-10-29,上市,光電業
552,3051,力特,2002-10-28,上市,光電業
553,3052,夆典,1995-11-25,上市,建材營造業
554,3054,立萬利,2002-11-18,上市,食品工業
555,3055,蔚華科,2002-12-12,上市,電子通路業
556,3056,富華新,2003-03-03,上市,建材營造業
557,3057,喬鼎,2002-12-18,上市,電腦及週邊設備業
558,3058,立德,2002-12-09,上市,電子零組件業
559,3059,華晶科,2002-12-24,上市,光電業
560,3060,銘異,2003-04-21,上市,電腦及週邊設備業
561,3062,建漢,2003-07-28,上市,通信網路業
562,3090,日電貿,2007-12-31,上市,電子零組件業
563,3092,鴻碩,2021-05-13,上市,電子零組件業
564,3094,聯傑,2007-08-06,上市,半導體業
565,3130,一零四,2006-02-17,上市,數位雲端
566,3138,耀登,2020-12-11,上市,通信網路業
567,3149,正達,2011-11-23,上市,光電業
568,3164,景岳,2010-03-22,上市,生技醫療業
569,3167,大量,2013-10-21,上市,電機機械
570,3168,眾福科,2024-03-26,上市,光電業
571,3189,景碩,2004-11-01,上市,半導體業
572,3209,全科,2008-11-26,上市,電子通路業
573,3229,晟鈦,2009-12-31,上市,電子零組件業
574,3231,緯創,2003-08-19,上市,電腦及週邊設備業
575,3257,虹冠電,2011-03-21,上市,半導體業
576,3266,昇陽,2014-12-24,上市,建材營造業
577,3296,勝德,2007-12-31,上市,電子零組件業
578,3305,昇貿,2008-07-10,上市,其他電子業
579,3308,聯德,2008-03-12,上市,電子零組件業
580,3311,閎暉,2004-03-08,上市,通信網路業
581,3312,弘憶股,2010-12-29,上市,電子通路業
582,3321,同泰,2015-12-15,上市,電子零組件業
583,3338,泰碩,2013-12-13,上市,電子零組件業
584,3346,麗清,2016-12-19,上市,汽車工業
585,3356,奇偶,2005-03-28,上市,光電業
586,3376,新日興,2007-12-31,上市,電子零組件業
587,3380,明泰,2004-12-20,上市,通信網路業
588,3406,玉晶光,2005-12-20,上市,光電業
589,3413,京鼎,2015-07-28,上市,半導體業
590,3416,融程電,2015-01-23,上市,電腦及週邊設備業
591,3419,譁裕,2008-01-21,上市,通信網路業
592,3432,台端,2010-12-30,上市,電子零組件業
593,3437,榮創,2014-07-09,上市,光電業
594,3443,創意,2006-11-03,上市,半導體業
595,3447,展達,2022-12-15,上市,通信網路業
596,3450,聯鈞,2006-04-12,上市,半導體業
597,3454,晶睿,2011-07-22,上市,光電業
598,3481,群創,2006-10-24,上市,光電業
599,3494,誠研,2007-12-13,上市,電腦及週邊設備業
600,3501,維熹,2007-09-20,上市,電子零組件業
601,3504,揚明光,2007-01-26,上市,光電業
602,3515,華擎,2007-11-08,上市,電腦及週邊設備業
603,3518,柏騰,2007-11-28,上市,其他電子業
604,3528,安馳,2016-05-18,上市,電子通路業
605,3530,晶相光,2018-07-16,上市,半導體業
606,3532,台勝科,2007-12-10,上市,半導體業
607,3533,嘉澤,2007-12-10,上市,電子零組件業
608,3535,晶彩科,2008-01-31,上市,光電業
609,3543,州巧,2020-04-15,上市,光電業
610,3545,敦泰,2007-07-03,上市,半導體業
611,3550,聯穎,2010-11-10,上市,電子零組件業
612,3557,嘉威,2008-02-27,上市,居家生活
613,3563,牧德,2019-04-02,上市,光電業
614,3576,聯合再生,2009-01-12,上市,光電業
615,3583,辛耘,2013-03-12,上市,半導體業
616,3588,通嘉,2009-08-14,上市,半導體業
617,3591,艾笛森,2010-11-12,上市,光電業
618,3592,瑞鼎,2022-01-07,上市,半導體業
619,3593,力銘,2009-03-16,上市,電子零組件業
620,3596,智易,2009-03-11,上市,通信網路業
621,3605,宏致,2009-03-26,上市,電子零組件業
622,3607,谷崧,2009-10-28,上市,電子零組件業
623,3617,碩天,2009-12-23,上市,其他電子業
624,3622,洋華,2009-03-25,上市,光電業
625,3645,達邁,2011-10-05,上市,電子零組件業
626,3652,精聯,2022-09-21,上市,電腦及週邊設備業
627,3653,健策,2009-11-18,上市,電子零組件業
628,3661,世芯-KY,2014-10-28,上市,半導體業
629,3665,貿聯-KY,2011-04-21,上市,其他電子業
630,3669,圓展,2011-08-25,上市,通信網路業
631,3673,TPK-KY,2010-10-29,上市,光電業
632,3679,新至陞,2011-10-05,上市,電子零組件業
633,3686,達能,2010-07-20,上市,半導體業
634,3694,海華,2011-05-03,上市,通信網路業
635,3701,大眾控,2004-08-30,上市,電腦及週邊設備業
636,3702,大聯大,2005-11-09,上市,電子通路業
637,3703,欣陸,2010-04-08,上市,建材營造業
638,3704,合勤控,2010-08-16,上市,通信網路業
639,3705,永信,2011-01-03,上市,生技醫療業
640,3706,神達,2013-09-12,上市,電腦及週邊設備業
641,3708,上緯投控,2016-08-31,上市,綠能環保
642,3711,日月光投控,2018-04-30,上市,半導體業
643,3712,永崴投控,2018-10-01,上市,電腦及週邊設備業
644,3714,富采,2021-01-06,上市,光電業
645,3715,定穎投控,2022-08-25,上市,電子零組件業
646,4104,佳醫,2007-12-31,上市,生技醫療業
647,4106,雃博,2004-11-08,上市,生技醫療業
648,4108,懷特,2008-07-16,上市,生技醫療業
649,4119,旭富,2004-01-07,上市,生技醫療業
650,4133,亞諾法,2009-12-28,上市,生技醫療業
651,4137,麗豐-KY,2013-11-27,上市,生技醫療業
652,4142,國光生,2012-05-03,上市,生技醫療業
653,4148,全宇生技-KY,2017-06-08,上市,生技醫療業
654,4155,訊映,2017-12-05,上市,生技醫療業
655,4164,承業醫,2012-10-24,上市,生技醫療業
656,4190,佐登-KY,2015-10-21,上市,生技醫療業
657,4306,炎洲,2008-01-21,上市,塑膠工業
